İhaleyi Veren Kurum;İhale Detayları
MUĞLA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Felaket Kurtarma Merkezi Hizmeti ve Yan Donanımları ile Yedekleme Sistemleri | 2026/1381058 | MUĞLA, 01.09.2026 11:00
MUĞLA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Felaket Kurtarma Merkezi Hizmeti ve Yan Donanımları ile Yedekleme Sistemleri | 2026/1381058 | MUĞLA, 01.09.2026 11:00
JANDARMA VE SAHİL GÜVENLİK AKADEMİSİ BAŞKANLIĞI;GÜVENLİK BİLGİLERİ VE OLAY YÖNETİMİ (SIEM) YAZILIMI (PROGRAM) MAL ALIMI | 2026/1333234 | ANKARA, 01.09.2026 10:00
JANDARMA VE SAHİL GÜVENLİK AKADEMİSİ BAŞKANLIĞI;GÜVENLİK BİLGİLERİ VE OLAY YÖNETİMİ (SIEM) YAZILIMI (PROGRAM) MAL ALIMI | 2026/1333234 | ANKARA, 01.09.2026 10:00
TÜRKİYE TURİZM TANITIM VE GELİŞTİRME AJANSI GENEL MÜDÜRLÜĞÜ;Microsoft Lisan Yenileme Hizmet Alımı | 2026/1455582 | İSTANBUL, 31.08.2026 11:00
TÜRKİYE TURİZM TANITIM VE GELİŞTİRME AJANSI GENEL MÜDÜRLÜĞÜ;Microsoft Lisan Yenileme Hizmet Alımı | 2026/1455582 | İSTANBUL, 31.08.2026 11:00
EMNİYET GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ DAİRE BAŞKANLIĞI;Araç İçi Kamera Sistemi | 2026/1324106 | ANKARA, 31.08.2026 11:00
EMNİYET GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ DAİRE BAŞKANLIĞI;Araç İçi Kamera Sistemi | 2026/1324106 | ANKARA, 31.08.2026 11:00
ENERJİ PİYASASI DÜZENLEME KURUMU BAŞKANLIĞI İNSAN KAYNAKLARI VE DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Sunucu ve Veri Depolama Ünitesi Alımı | 2026/1370520 | ANKARA, 28.08.2026 10:30
ENERJİ PİYASASI DÜZENLEME KURUMU BAŞKANLIĞI İNSAN KAYNAKLARI VE DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Sunucu ve Veri Depolama Ünitesi Alımı | 2026/1370520 | ANKARA, 28.08.2026 10:30
BAŞAKŞEHİR BELEDİYE BAŞKANLIĞI BİLGİ İŞLEM MÜDÜRLÜĞÜ;KONTROLLÜ GEÇİŞ EKİPMANLARI, EL ALETLERİ VE ELEKTRONİK MALZEME ALIMI | 2026/1415678 | İSTANBUL, 28.08.2026 10:30
